Playlist Title,Playlist id
"Early-Stage HER2+ Breast Cancer: DESTINY-Breast11, DESTINY-Breast05 & What Comes Next - Dr. Neil lyengar & Dr. Komal Jhaveri",PL2Hl5AUWjkcgx53RC-gosoVkylHK2gFxM
DB-11 & DB-05: Rewriting Neoadjuvant & Adjuvant HER2+ Breast Cancer Strategy - Dr. Alison Conlin & Dr. Heather McArthur,PL2Hl5AUWjkcjk3q6xz7EBRPnAWWrcfktZ
Is First-Line mTNBC Changing? Datopotamab Deruxtecan vs Sacituzumab Govitecan Explained - Dr. Bill Gradishar & Dr. Tiffany Traina,PL2Hl5AUWjkch8F7LYwrK7ZSkeuIu1uZ1v
Dr. Ruta Rao & Dr. VK Gadi,PL2Hl5AUWjkcjkeCwnexDW5A35YW6dCpz8
"Cleopatra, DESTINY-Breast09 & What Comes Next with Drs. Bill Gradishar, Tarah Ballinger, & Megan Kruse",PL2Hl5AUWjkcj4cuPQAXMyHtcPgcDRhWiq
New First-Line Strategies in HER2+ Metastatic Breast Cancer with Dr. Mark Pegram & Dr. Carol Tweed,PL2Hl5AUWjkch0BhbecHExDoFI-BIOCuvp
Is HER2+ Metastatic Breast Cancer Curable? What Comes Next - Dr. Gregory Vidal & Dr. Nusayba Bagegni,PL2Hl5AUWjkchqQepKWLujRJqTzWBq7ga3
"Is DB09 Leading Towards A New First-Line Standard Of Care? With Drs. Krie, Mardones, & O'Dea",PL2Hl5AUWjkcj1AMFtfkKNxWru-8oqXiE_
"Drs. Neil Iyengar, Komal Jhaveri, & Igor Makhlin discussing T-DXd + Pertuzumab As A Possible New First Line Standard.",PL2Hl5AUWjkcgctNi0rmnc_UcGhfgVBQ5w
Dr. Neil Iyengar & Dr. Martin Dietrich discuss DESTINY-Breast09 And If HER2+ First-Line Treatment Officially Changed?,PL2Hl5AUWjkchY4CKaO-YFbzZ85bmIrDLA
Dr. Irene Kang & Dr. Aditya Bardia discuss DESTINY-Breast09 & the Future of Care,PL2Hl5AUWjkci_7ihXb_CxYRx44m5advu4
Dr. Mark Pegram & Dr. Fengting Yan discuss if T-DXd Is Rewriting First-Line HER2+ Metastatic Breast Cancer,PL2Hl5AUWjkcgiwYUMn1xZE0OcJ7kkFgC_
"Drs. Mouabbi, O'Shaughnessy & Rimawi Rethink First-Line Metastatic HER2+ Therapy with T-DXd",PL2Hl5AUWjkchaSnGOSPayrLvVI5VZw-Xr
Dr. Neil Iyengar & Dr. Erika Hamilton - First-Line TNBC: How TRO-Breast02 & ASCENT-03 Change the Game,PL2Hl5AUWjkchKrBR4U7qR34jnrxJ-cFnd
Dr. Gregory Vidal and Dr. Erika Hamilton,PL2Hl5AUWjkciT76SNZ8KF8YuUBA-J5Zmj
Dr. Mark Pegram & Dr. Ana Garrido-Castro - Breakthrough Data in Metastatic TNBC,PL2Hl5AUWjkcjmsRaEGRABoVIGpFDB-mKX
"Dr. Jason Mouabbi, Dr. Irene Kang, and Dr. Ruemu Birhiray",PL2Hl5AUWjkcgHOME-3DuV__2NGIqieLbR
Dr. Neil Iyengar & Dr. Mark Robson,PL2Hl5AUWjkciojcG6OcXr53j6CVbUCKaH
Dr. Mark Pegram & Dr. Neil Iyengar,PL2Hl5AUWjkchgKKgSKqSsmFsXAIzti2eh
Dr. VK Gadi & Dr. Jason Mouabbi - HER2 Positive & HER2 Low Updates and Therapies,PL2Hl5AUWjkcg9IswomQR5PAFwEE7GeR0q
Dr. VK Gadi & Dr. Anne O'Dea - Advances in HER2 Positive Breast Cancer Treatment,PL2Hl5AUWjkci9phIT_iBNkmaUp4hv2IId
"Dr. Jason Mouabbi & Dr. Paolo Tarantino - T-Dxd, HER2 Low & The Future of Breast Cancer Treatment",PL2Hl5AUWjkcjQ1qYVwjWWcwaJNnp3b6OA
Dr. Aditya Bardia and Dr. Reena Callahan - Redefining HER2 Classifications and Treatments,PL2Hl5AUWjkcjDYB2OkFzYrBiZV8r9-RPm
Dr. VK Gadi & Dr. Fengting Yan - Navigating HER2 Low and Ultra Low Disease,PL2Hl5AUWjkchGE0Ih3iTYgA0QGrGeIyuZ
Dr. Jason Mouabbi & Dr. Michelina Cairo - Talking DB04 and DB06,PL2Hl5AUWjkcj56vpMhTrmzyiw86r-CAvt
Dr. Jason Mouabbi & Dr. Mothaffar Rimawi - DB09 & The Future of HER2 +Care,PL2Hl5AUWjkcijhM_JbPRxMWvRdMW3ceuD
CHM Conversations,PL2Hl5AUWjkciIjpJ6mSA9uGjfPFL4Hn0P